country_of_origin,region,variety,processing_method,color,harvest_year,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Colombia,huila,Caturra,Washed / Wet,Green,2011,1750,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42
Colombia,huila,NA,NA,NA,3T/2011,1750,7.58,7.25,7.42,7.25,7.58,7.83,10,10,10,7.5,82.42
Honduras,comayagua,Caturra,Washed / Wet,Green,2017,1396,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33
Brazil,cerrado,Catuai,Natural / Dry,Green,2016,982,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33
Brazil,cerrado,NA,Natural / Dry,Green,2016 / 2017,NA,7.42,7.42,7.42,7.5,7.5,7.58,10,10,10,7.5,82.33
Brazil,south of minas,Bourbon,Natural / Dry,Bluish-Green,2016,934,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33
Costa Rica,tarrazu,Caturra,Washed / Wet,Bluish-Green,2015,1850,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33
Costa Rica,tarrazu,Catuai,Washed / Wet,Green,2015,1550,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33
Brazil,south of minas,Bourbon,Natural / Dry,Green,2015/2016,1268,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33
Brazil,chapadão de ferro (cerrado mineiro),Mundo Novo,Natural / Dry,Green,2015,NA,7.42,7.5,7.5,7.42,7.5,7.58,10,10,10,7.42,82.33
Guatemala,huehuetenango,Bourbon,Washed / Wet,Green,2015,1676.4,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33
Brazil,south of minas,Bourbon,Natural / Dry,Blue-Green,2014/2015,1100,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33
Guatemala,jalapa,Pacas,Washed / Wet,Green,2014,1524,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33
Mexico,veracruz,NA,Washed / Wet,Green,2014,NA,7.33,7.58,7.42,7.5,7.5,7.5,10,10,10,7.5,82.33
Colombia,antioquia,Caturra,Washed / Wet,Green,2013,1300,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33
Taiwan,changhua baguashan 彰化市八卦山,Typica,Semi-washed / Semi-pulped,Green,2013/2014,200,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33
Taiwan,taichung xinshe 台中市新社區,Typica,Washed / Wet,Green,2013/2014,600,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33
Colombia,huila,Caturra,Washed / Wet,Green,2013,1750,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33
Mexico,"la concordia, chiapas",Typica,Washed / Wet,Green,2013,1300,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33
Costa Rica,central valley,NA,Washed / Wet,Green,2012,NA,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10,7.67,82.33
Guatemala,jalapa,Bourbon,Washed / Wet,Green,2012,1752.6,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33
Mexico,"jaltocan, hidalgo",Typica,Natural / Dry,None,2012,441,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33
Mexico,veracruz,Bourbon,Washed / Wet,Green,2012,1170,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1310.64,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33
Brazil,grama valley,Mundo Novo,Natural / Dry,Green,2012,1100,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33
Mexico,santa catarina juquila,Typica,Washed / Wet,Green,2012,1300,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33
Brazil,south of minas,Mundo Novo,Washed / Wet,Green,2012,950,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33
Colombia,huila,Caturra,Natural / Dry,Green,2012,442,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33
Brazil,brazil matas de minas,Catuai,Washed / Wet,Green,NA,1100,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25
Taiwan,NA,NA,NA,Blue-Green,2016/2017,NA,7,7.08,7,7.17,7,7,10,10,10,10,82.25
Guatemala,nuevo oriente,Pacas,Washed / Wet,Green,2016,1450,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25
Honduras,marcala,Catuai,Washed / Wet,Green,2015,1350,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25
Brazil,south of minas,Bourbon,Natural / Dry,Green,2014/2015,1100,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25
Taiwan,nantou,Typica,Washed / Wet,Green,2013/2014,650,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82.25
Mexico,veracruz,Mundo Novo,Washed / Wet,Blue-Green,2013,1338,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2013,NA,7.33,7.42,7.5,7.67,7.5,7.42,10,10,10,7.42,82.25
Mexico,"calnali, hidalgo",Bourbon,Washed / Wet,None,2012,533,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25
Guatemala,antigua,Bourbon,Washed / Wet,Green,2012,1390.8024,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25
Mexico,veracruz,Bourbon,Washed / Wet,Green,2012,1170,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25
Mexico,juquila,Typica,Washed / Wet,Green,2012,1250,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82.25
Mexico,veracruz,Typica,Washed / Wet,Green,2012,1100,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82.25
Mexico,canoas,Typica,Washed / Wet,Green,2012,900,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82.25
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82.25
Brazil,NA,Arusha,Natural / Dry,Green,2012,NA,7.67,7.58,7.42,7,7.5,7.58,10,10,10,7.5,82.25
Colombia,cauca,NA,NA,NA,NA,NA,7.17,7.25,7.58,7.25,7.58,7.67,10,10,10,7.75,82.25
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,934,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17
Honduras,comayagua,Caturra,Washed / Wet,Bluish-Green,2015,1500,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82.17
"Tanzania, United Republic Of",ruvuma,Bourbon,Washed / Wet,Green,2015,1650,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82.17
"Tanzania, United Republic Of",northern,Other,Washed / Wet,Green,2015/2016,1600,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82.17
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17
Thailand,thailand,NA,Washed / Wet,Bluish-Green,2014,800,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82.17
Honduras,marcala,Catuai,Washed / Wet,Green,2015,1350,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82.17
Guatemala,atitlan,Bourbon,Washed / Wet,Blue-Green,2014,1500,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,82.17
Brazil,cerrado,Mundo Novo,Natural / Dry,Green,2014,NA,7.58,7.5,7.42,7.25,7.5,7.42,10,10,10,7.5,82.17
"Tanzania, United Republic Of","ilomba vilage, mbozi",Other,Washed / Wet,Green,2014,1700,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,82.17
Mexico,veracruz,Other,Washed / Wet,Green,2013,1100,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82.17
Mexico,"la concordia, chiapas",Other,Washed / Wet,None,2013,1400,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17
Taiwan,yunlin 雲林縣石壁,Typica,Other,Green,2013/2014,1200,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,82.17
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Washed / Wet,Green,2012,800,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,82.17
Colombia,huila,Caturra,Washed / Wet,Bluish-Green,2013,1750,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,82.17
Mexico,san bartolo tutotepec,Typica,Washed / Wet,None,2012,1144,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,82.17
Guatemala,oriente,Caturra,Washed / Wet,None,2012,1350,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,82.17
Mexico,altotonga,Typica,Washed / Wet,Green,2012,1000,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,82.17
Mexico,colima,Typica,Washed / Wet,Green,2012,1200,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,82.17
Colombia,huila,NA,NA,NA,4T/10,1800,7.58,7.67,7.42,7.17,7.17,7.75,10,10,10,7.42,82.17
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10,7.58,82.08
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,894,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,82.08
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82.08
Costa Rica,tres rios,Caturra,Washed / Wet,Blue-Green,2015,1300,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,82.08
"Tanzania, United Republic Of",kilimanjaro,Bourbon,Washed / Wet,Green,2014,1500,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,82.08
"Tanzania, United Republic Of",ngorogoro,Other,Washed / Wet,Green,2014,1600,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,82.08
Colombia,NA,NA,Washed / Wet,Green,2013,NA,7.5,7.42,7.42,7.42,7.67,7.42,10,10,10,7.25,82.08
Costa Rica,turrialba,Caturra,Washed / Wet,Green,2013,13,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,82.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.25,7.58,7.58,7.25,7.5,7.42,10,10,10,7.5,82.08
Mexico,coatepec,Typica,Washed / Wet,Green,2012,1300,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,82.08
Mexico,tapachula,Typica,Washed / Wet,Green,2012,1800,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,82.08
Mexico,coatepec,Typica,Washed / Wet,Green,2012,1250,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,82.08
Mexico,veracruz,Typica,Washed / Wet,Green,2012,1250,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,82.08
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.33,7.5,7.33,7.58,7.08,7.83,10,10,10,7.42,82.08
Colombia,cauca,NA,NA,NA,January 2011,1600,7.67,7.42,7.67,7.33,7.25,7.58,10,10,10,7.17,82.08
Honduras,el paraíso,Caturra,Washed / Wet,Green,2017,1600,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,82
Honduras,guinope el paraíso,Caturra,Natural / Dry,Green,2016,1600,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,82
Brazil,south of minas,Bourbon,Natural / Dry,Green,2016,944,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,82
"Tanzania, United Republic Of",kilimanjaro,Other,Washed / Wet,Green,2015,1650,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,82
"Tanzania, United Republic Of",meru,Other,Washed / Wet,Green,2014,1350,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,82
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Washed / Wet,Green,2013,600,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,82
Thailand,thailand,NA,Washed / Wet,Green,2013,800,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,82
Costa Rica,central valley,Catuai,Washed / Wet,Green,2013,1300,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,82
Honduras,occidental,Caturra,Washed / Wet,Green,2014,1400,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,82
Colombia,huila,Caturra,Washed / Wet,Green,2013,1900,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,82
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Washed / Wet,Bluish-Green,2012,650,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,82
Brazil,"minas gerais, br",Mundo Novo,Natural / Dry,Blue-Green,2012,1038.5,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,82
Mexico,coscomatepec,Typica,Washed / Wet,Green,2012,940,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,82
Brazil,south of minas,Mundo Novo,Natural / Dry,Green,2012,1000,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,82
Brazil,cerrado,Catuai,Semi-washed / Semi-pulped,Blue-Green,2012,1050,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,82
Guatemala,san marcos,Bourbon,Natural / Dry,Green,2012,NA,7.33,7.33,7.33,7.5,7.67,7.67,10,10,10,7.17,82
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,Green,2012,950,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,82
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1402.08,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,82
Colombia,huila,Caturra,NA,NA,Mayo a Julio,1775,7.33,7,7.08,7.42,7.5,7.67,10,10,10,8,82
Guatemala,oriente,Bourbon,Washed / Wet,Green,2017,1901,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,81.92
Guatemala,santa rosa,Bourbon,Washed / Wet,Green,2017,1219.2,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,81.92
Honduras,comayagua,Caturra,Washed / Wet,Green,2017,1400,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,81.92
Brazil,monte carmelo,Catuai,Natural / Dry,Green,2016 / 2017,1020,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,81.92
Guatemala,nuevo oriente,Catuai,Washed / Wet,Green,2015,1550,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,81.92
"Tanzania, United Republic Of",mbeya,Other,Washed / Wet,Green,2014,1877,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,81.92
Honduras,NA,NA,Washed / Wet,Green,2012,NA,7.42,7.33,7.33,7.58,7.33,7.5,10,10,10,7.42,81.92
Taiwan,taichung xinshe 台中市新社區,Typica,Other,Green,2012,1000,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,81.92
Mexico,chiapas,Bourbon,Washed / Wet,Green,2013,1300,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,81.92
Mexico,"chapulhuacan, hidalgo",Typica,Semi-washed / Semi-pulped,None,2012,981,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,81.92
Mexico,"huazalingo, hidalgo",Mundo Novo,Washed / Wet,None,2012,690,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,81.92
Mexico,veracruz,Other,Washed / Wet,Green,2012,1650,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,81.92
Mexico,fortín de las flores,Bourbon,Washed / Wet,Green,2012,1000,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,81.92
Brazil,grama valley,Mundo Novo,Natural / Dry,Green,2012,1100,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,81.92
Colombia,cundinamarca,NA,NA,NA,4T/2010,1600,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,81.92
Guatemala,oriente,Bourbon,Washed / Wet,Green,2017,157.8864,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,81.83
Costa Rica,tarrazu,Catuai,Pulped natural / honey,Green,2016,1900,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,81.83
Brazil,monte carmelo,Mundo Novo,Natural / Dry,Green,2016,973,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,81.83
Guatemala,norte,Bourbon,Washed / Wet,Green,2015,NA,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,81.83
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,81.83
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,81.83
Mexico,chiapas,Catuai,Washed / Wet,Green,2015,1425,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,81.83
Honduras,marcala,Catuai,Washed / Wet,Green,2015,1400,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,81.83
Costa Rica,tres rios,Caturra,Washed / Wet,Green,2015,1300,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,81.83
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Washed / Wet,Green,2014,700,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,81.83
Brazil,south of minas,Bourbon,Natural / Dry,Green,2014/2015,1100,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,81.83
Honduras,comayagua,Caturra,Natural / Dry,Green,2014,1350,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,81.83
Mexico,"siltepec el triunfo, chiapas, mexico",Typica,Washed / Wet,Green,2014,1550,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,81.83
Colombia,huila,Caturra,Washed / Wet,Bluish-Green,2013,1775,7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,81.83
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,8,81.83
Brazil,sul de minas,Bourbon,Semi-washed / Semi-pulped,Bluish-Green,2012,1250,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,81.83
Mexico,veracruz,Bourbon,Washed / Wet,Green,2012,1500,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,81.83
Mexico,coatepec,Typica,Semi-washed / Semi-pulped,Green,2012,1250,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,81.83
Brazil,cerrado,Mundo Novo,NA,NA,2011,925,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,81.83
Colombia,huila,NA,NA,NA,1t/2011,1700,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,7.33,81.83
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10,7.33,81.83
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,81.75
"Tanzania, United Republic Of",ngorogoro,Other,Washed / Wet,Bluish-Green,2014,1600,7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,81.75
Brazil,NA,NA,Natural / Dry,Bluish-Green,2013,NA,7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,81.75
Mexico,"tenango de doria, hidalgo",Bourbon,Washed / Wet,None,2012,774,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,81.75
Mexico,tepictla,Mundo Novo,Washed / Wet,Green,2012,1250,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,81.75
Mexico,oaxaca,Typica,Washed / Wet,Green,2012,1100,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,81.75
Mexico,la concordia,Caturra,Washed / Wet,Green,2012,1550,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,81.75
Mexico,la concordia,Typica,Washed / Wet,NA,2012,1650,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,81.75
Colombia,huila,Caturra,Washed / Wet,Green,2011,1750,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,81.75
Colombia,huila,NA,NA,NA,Mayo a Julio,1775,7.42,7.58,6.92,7.08,7.25,8,10,10,10,7.5,81.75
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,81.67
Guatemala,santa rosa,Bourbon,Washed / Wet,Green,2017,1219.2,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,81.67
Honduras,marcala,Catuai,Washed / Wet,Blue-Green,2016,1450,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,81.67
"Tanzania, United Republic Of",mbinga,NA,NA,Green,2016,1800,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,81.67
Colombia,la plata,NA,NA,NA,2016,NA,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,7.67,81.67
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2015/2016,1,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67
"Tanzania, United Republic Of",mbinga,Other,Washed / Wet,Green,2014,1500,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,81.67
"Tanzania, United Republic Of","ilomba vilage, mbozi",Other,Washed / Wet,Green,2013,1700,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,81.67
Brazil,south of minas,Bourbon,Washed / Wet,Green,2014/2015,1260,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67
Honduras,comayagua,Caturra,Natural / Dry,Green,2014,1400,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,81.67
Costa Rica,tarrazu,Caturra,Washed / Wet,Green,2013,1850,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,81.67
Mexico,veracruz,NA,Washed / Wet,Green,2014,NA,7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,7.42,81.67
Taiwan,changhua baguashan 彰化市八卦山,Typica,Semi-washed / Semi-pulped,Green,2013/2014,150,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,81.67
Taiwan,nantou,Typica,Washed / Wet,Green,2013/2014,750,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,81.67
Mexico,"la concordia, chiapas",Typica,Washed / Wet,Green,2013,1400,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,81.67
Guatemala,jalapa,Bourbon,Washed / Wet,Green,2012,1752.6,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,81.67
Mexico,tuxtla gutierrez,Typica,Washed / Wet,Green,2012,1650,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,81.67
Mexico,yajalon,Bourbon,Washed / Wet,Green,2012,1400,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,81.67
Mexico,veracruz,Bourbon,Washed / Wet,Green,2012,1200,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,81.67
Mexico,"la concordia, chiapas",Bourbon,Washed / Wet,Green,2012,1400,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,81.67
Mexico,"sacún palma, municipio de chilón, chiapas",Caturra,Semi-washed / Semi-pulped,Green,2012,940,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,81.67
United States (Hawaii),kona,Hawaiian Kona,Washed / Wet,Green,2012,NA,7.42,7.33,7.33,7.33,7.17,7.83,10,10,10,7.25,81.67
Honduras,western region,Catimor,Washed / Wet,Blue-Green,2018,1200,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,81.58
Guatemala,huehuetenango,Bourbon,Washed / Wet,Green,2017,NA,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,81.58
Taiwan,natou county,Typica,Washed / Wet,Blue-Green,2016,800,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,81.58
Costa Rica,turrialba,Caturra,Washed / Wet,Green,2015,13,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,81.58
"Tanzania, United Republic Of","oldeani , mongola",Other,Washed / Wet,Green,2014,1800,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,81.58
Taiwan,natou county,Typica,Semi-washed / Semi-pulped,NA,2014,850,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,81.58
Brazil,south of minas,Yellow Bourbon,Washed / Wet,Blue-Green,2013/2014,1260,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,81.58
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,81.58
Mexico,"la concordia, chiapas",Typica,Washed / Wet,Green,2013,1400,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,81.58
Mexico,la concordia,Marigojipe,Natural / Dry,NA,2012,1600,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,81.58
Mexico,la concordia,Typica,Natural / Dry,NA,2012,1650,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,81.58
Thailand,"doi chaang village, chiang rai, thialand",NA,NA,NA,2011,1499.9208,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,81.58
Thailand,NA,NA,NA,NA,2011,NA,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,7.33,81.58
Costa Rica,tarrazu,NA,NA,NA,NA,1600.2,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,7.25,81.58
Guatemala,santa rosa,Bourbon,Washed / Wet,Green,2017,1219.2,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,81.5
Honduras,comayagua,Caturra,Washed / Wet,Green,2017,1400,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,81.5
Guatemala,santa rosa,Bourbon,NA,Green,2017,NA,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,7.33,81.5
